"Toluca Store&trade; is a trademark of Gamuza Technologies.","Toluca Store&trade; é uma marca registrada da Gamuza Technologies."
"Copyright &copy; %s Gamuza Technologies. All rights reserved.","Copyright &copy; %s Gamuza Technologies. Todos os direitos reservados."
"Payment","Pagamento"
"Color","Cor"
"Is In Stock","Em Estoque"
"Prices","Preços"
"Price View","Visualização de Preço"
"As High as","Maior Preço"
"As Low as One","Menor Preço Único"
"As High as One","Maior Preço Único"
"Price Static","Preço Estático"
"Price Average","Preço Médio"
"Max Length","Tamanho Máximo"
"Size","Tamanho"
"Male","Masculino"
"Female","Feminino"
"Taxvat","CPF/CNPJ"
"Street Address Line 1","Rua"
"Street Address Line 2","Número"
"Street Address Line 3","Complemento"
"Street Address Line 4","Bairro"
"Prepare","Preparar"
"Preparing","Preparando"
"Paid","Pago"
"Shipped","Enviado"
"Delivered","Entregue"
"Refunded","Reembolsado"
"The order is being prepared.","O pedido está sendo preparado."
"The order was paid.","O pedido foi pago."
"The order was shipped.","O pedido foi enviado."
"The order was delivered.","O pedido foi entregue."
"The order was refunded.","O pedido foi reembolsado."
"The order was canceled.","O pedido foi cancelado."
"The order notification has been sent.","A notificação do pedido foi enviada."
"Failed to send the order notification.","Falha ao enviar a notificação do pedido."
"Change Stock Qty","Alterar Qtde em Estoque"
"Change Stock Status","Alterar Status em Estoque"
"Change Price","Alterar Preço"
"Change Special Price","Alterar Preço Especial"
"Change Weight","Alterar Peso"
"Change Visibility","Alterar Visibilidade"
"Total Qty: %s","Qtde Total: %s"
"Qty: %s","Qtde: %s"
"Shipping: %s","Entrega: %s"
"Grand Total: %s","Total Geral: %s"
"SKU Position","Posição do SKU"
"Brand","Marca"
"Table Rates Manager","Gerenciador de Tabela de Cálculo"
"Shipping Cost","Custo Entrega"
"My Addresses","Meus Endereços"
"Attribute Options","Opçõe de Atributos"
"Manage Attribute Options","Gerenciar Opções de Atributos"
"Option ID","ID Opção"
"Attribute ID","ID Atributo"
"Frontend Label","Rótulo de Exibição"
"Value ID","ID Valor"
"Attribute Option Information","Informações de Opção de Atributo"
"Edit Attribute Option '%s'","Editar Opção de Atributo '%s'"
"New Option","Nova Opção"
"Edit Option","Editar Opção"
"Save Option","Salvar Opção"
"Attribute","Atributo"
"Attribute Option does not exist.","Opção de Atributo não existe."
"Attribute Option was successfully saved.","Opção de Atributo foi salva com sucesso."
"Attribute Option was successfully deleted.","Opção de Atributo foi excluída com sucesso."
"Handling Applied","Aplicar Empacotamento"
"Shipping Rates","Taxas de Envios"
"Shipping Rates Manager","Gerenciador de Taxas de Envio"
"Manage Shipping Rates","Gerenciar Taxas de Envio"
"Customer ID","ID Cliente"
"Address ID","ID Endereço"
"Quote ID","ID Cotação"
"Qtys","Qtdes"
"Customer E-mail","E-mail Cliente"
"Postcode","CEP"
"Carrier Title","Título da Entrega"
"Method Title","Título do Método"
"Error Message","Mensagem de Erro"
"You have %s pending orders!","Você tem %s pedido(s) pendente(s)!"
"Log into TolucaStore Admin Page","Entrar no Painel de Administração do TolucaStore"
"Secondary Name","Apelido/Fantasia"
"Cellphone","Celular"
"Please enter the cellphone number.","Por favor, digite o número do celular."
"Service Product","Produto de Serviço"
"Not Logged In","Deslogado"
"General","Geral"
"Wholesale","Atacado"
"Retailer","Varejo"
"Supply Chain","Cadeia de Suprimentos"
"Supplier","Fornecedor"
"Manufacturer","Fabricante"
"Distributer","Distribuidor"
"Seller","Vendedor"
"Reseller","Revendedor"
"Services Manager","Gerenciador de Serviços"
"Service #","Serviço #"
"Open","Aberto"
"Requested order ID was not specified.","ID Pedido não foi especificado."
"Requested order was not found.","Pedido não foi encontrado."
"Requested invoice was not found.","Faturado não foi encontrada."
"Requested shipment was not found.","Entrega não foi encontrada."
"Requested creditmemo was not found.","Reembolso não foi encontrado."
"Requested service was not found.","Serviço não foi encontrado."
"Requested order has been canceled.","Pedido já foi cancelado."
"Requested order was not canceled.","Pedido não foi cancelado."
"Requested order has been prepared.","Pedido já foi preparado."
"Requested order was not prepared.","Pedido não foi preparado."
"Requested order has been paid.","Pedido já foi pago."
"Requested order was not paid.","Pedido não foi pago."
"Requested order has been shipped.","Pedido já foi enviado."
"Requested order was not shipped.","Pedido não foi enviado."
"Requested order has been delivered.","Pedido já foi entregue."
"Requested order was not delivered.","Pedido não foi entregue."
"Requested order has been refunded.","Pedido já foi reembolsado."
"Requested order was not refunded.","Pedido não foi reembolsado."
"Grid Auto Reload","Auto Recarregar Grid"
"Weight in grams or milliliters (numbers only). E.g: 1234","Peso em gramas ou mililitros (somente números). Ex: 1234"
"Please use dot (.) for decimal. E.g: 1234.5678","Por favor use ponto (.) para decimal. Ex: 1234.5678"

